product_id;sku;category_id
3931;ELCX3282562;8612
3932;ELHX3282563;211
3932;ELHX3282563;233
3932;ELHX3282563;2240
3932;ELHX3282563;2251
3932;ELHX3282563;2252
3932;ELHX3282563;8613
3932;ELHX3282563;8614
3932;ELHX3282563;8990
3932;ELHX3282563;211
3932;ELHX3282563;233
3932;ELHX3282563;2240
3932;ELHX3282563;2251
3932;ELHX3282563;2252
3932;ELHX3282563;8613
3932;ELHX3282563;8614
3932;ELHX3282563;8990
3932;ELHX3282563;211
3932;ELHX3282563;233
3932;ELHX3282563;2240
3932;ELHX3282563;2251
3932;ELHX3282563;2252
3932;ELHX3282563;8613
3932;ELHX3282563;8614
3932;ELHX3282563;8990
3932;ELHX3282563;211
3932;ELHX3282563;233
3932;ELHX3282563;2240
3932;ELHX3282563;2251
3932;ELHX3282563;2252
3932;ELHX3282563;8613
3932;ELHX3282563;8614
3932;ELHX3282563;8990
3933;ELHX3282564;211
3933;ELHX3282564;211
3935;ELHX3282566;211
3935;ELHX3282566;211
3936;ELHX3282567;211
3936;ELHX3282567;233
3936;ELHX3282567;215
3936;ELHX3282567;216
3936;ELHX3282567;2240
3936;ELHX3282567;2251
3936;ELHX3282567;2252
3936;ELHX3282567;8613
3936;ELHX3282567;8614
3936;ELHX3282567;8990
3936;ELHX3282567;211
3936;ELHX3282567;233
3936;ELHX3282567;215
3936;ELHX3282567;216
3936;ELHX3282567;2240
3936;ELHX3282567;2251
3936;ELHX3282567;2252
3936;ELHX3282567;8613
3936;ELHX3282567;8614
3936;ELHX3282567;8990
3936;ELHX3282567;211
3936;ELHX3282567;233
3936;ELHX3282567;215
3936;ELHX3282567;216
3936;ELHX3282567;2240
3936;ELHX3282567;2251
3936;ELHX3282567;2252
3936;ELHX3282567;8613
3936;ELHX3282567;8614
3936;ELHX3282567;8990
3936;ELHX3282567;211
3936;ELHX3282567;233
3936;ELHX3282567;215
3936;ELHX3282567;216
3936;ELHX3282567;2240
3936;ELHX3282567;2251
3936;ELHX3282567;2252
3936;ELHX3282567;8613
3936;ELHX3282567;8614
3936;ELHX3282567;8990
3938;ELRX3282569;211
3938;ELRX3282569;211
3939;ELRX3282570;211
3939;ELRX3282570;211
3940;ELRX3282571;211
3940;ELRX3282571;233
3940;ELRX3282571;8615
3940;ELRX3282571;8616
3940;ELRX3282571;211
